ID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,nufnu_5keV(erg.s-1.cm-2),nufnu_error_5keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2)
572,23:18:55.209,+00:28:49.132,3.93e+20,0.8,-999/-999,6.495930000000001e-14,1.5836000000000003e-14,4.36994e-14,1.7232e-14,-999.0,5.898099999999999e-14,2.32579e-14,-999.0,4.42773e-14,2.48294e-14,-999.0
591,01:18:03.636,-00:44:45.845,3.55e+20,0.8,-999/-999,2.79835e-14,1.12622e-14,3.97291e-14,1.72125e-14,-999.0,1.8298400000000002e-14,-2.57524e-11,3.38436e-11,1.3788299999999999e-14,1.5239500000000002e-14,-999.0
593,01:18:51.417,-01:00:27.411,4.02e+20,0.8,-999/-999,6.369869999999999e-14,1.7469099999999998e-14,2.69055e-14,1.4507e-14,-999.0,7.2222e-14,2.77223e-14,-999.0,5.4147000000000005e-14,2.9195099999999997e-14,-999.0
600,23:37:30.820,+00:17:23.088,3.56e+20,0.8,-999/-999,4.07917e-14,1.43952e-14,0.0,-2.38212e-11,3.42377e-11,7.46913e-14,3.06356e-14,-999.0,2.8121499999999996e-14,2.33258e-14,-999.0
601,23:37:35.152,+00:17:54.440,3.56e+20,0.8,-999/-999,5.11031e-14,1.5647e-14,3.3874800000000005e-14,1.7105900000000002e-14,-999.0,2.33921e-14,1.6828799999999998e-14,-999.0,7.05061e-14,3.56037e-14,-999.0
604,23:37:35.920,+00:15:56.148,3.55e+20,0.5329999999999999,+0.25/-0.19,3.48625e-13,4.5843e-14,1.66884e-13,3.4137599999999997e-14,-999.0,1.25078e-13,3.62476e-14,-999.0,3.28796e-13,7.3956e-14,-999.0
605,23:37:38.847,+00:16:02.725,3.55e+20,0.615,+0.17/-0.14,6.10614e-13,5.542040000000001e-14,2.12992e-13,3.8282900000000004e-14,-999.0,4.3560900000000003e-13,6.61224e-14,-999.0,5.81241e-13,9.498889999999999e-14,-999.0
606,23:37:40.729,+00:17:13.004,3.55e+20,0.8,-999/-999,6.10194e-14,1.7206200000000003e-14,2.5261900000000003e-14,1.3806799999999999e-14,-999.0,3.4921300000000004e-14,1.9086e-14,-999.0,1.05247e-13,4.0626e-14,-999.0
611,23:37:41.141,+00:16:30.796,3.55e+20,1.421,+0.39/-0.26,8.077630000000001e-14,1.17696e-14,2.1563400000000002e-13,4.2987800000000006e-14,-999.0,1.2581900000000002e-13,3.5601e-14,-999.0,8.29689e-14,3.3094e-14,-999.0
608,23:37:41.316,+00:18:00.510,3.56e+20,0.8,-999/-999,5.31842e-14,1.5647e-14,5.28727e-14,2.00398e-14,-999.0,4.86604e-14,2.2518400000000002e-14,-999.0,5.64265e-14,-5.38911e-11,7.12613e-11
609,23:37:40.174,+00:15:27.926,3.54e+20,1.031,+0.41/-0.27,9.66395e-14,1.81504e-14,1.02631e-13,2.8185000000000002e-14,-999.0,9.96528e-14,3.16819e-14,-999.0,9.566460000000001e-14,3.6962e-14,-999.0
