NAME,ORIG_TARGET_ID,TARGET_ID,RA,DEC,START_TIME,STOP_TIME,ORIG_OBS_SEGM,OBS_SEGMENT,ORIG_OBSID,OBSID,XRT_EXPOSURE,XRT_EXPO_PC,ARCHIVE_DATE,PROCESSING_DA,PROCESSING_DATE,PROCESSING_VE
1WHSPJ012657.2+330730,85374,85374,21.733949,33.069153,7/11/2014,8/11/2014,1,1,85374001,85374001,1582,1582,18/11/2014,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,17/11/2014,3.16.06
1WHSPJ012657.2+330730,85374,85374,21.752509,33.107306,6/6/2015,6/6/2015,5,5,85374005,85374005,2170,2170,17/6/2015,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_15,16/6/2015,3.16.09
