#RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
01:26:57.165;+33:07:27.142;5.422E-02;4.100E-03;3493.1;2.336E-02;2.708E-03;-9.990E+02;1.940E-02;2.475E-03;-9.990E+02;1.146E-02;1.857E-03;-9.990E+02
01:27:30.469;+33:02:44.225;7.630E-03;1.700E-03;3632.9;2.544E-03;9.917E-04;-9.990E+02;3.391E-03;1.133E-03;-9.990E+02;1.695E-03;7.792E-04;-9.990E+02
