RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
20:43:04.804;-00:38:04.695;5.29E+20;0.8;-999/-999;42129.6;2.2927e-14;3.72675e-15;1.33035e-14;4.04429e-15;-9.990E+02;2.14939e-14;5.71245e-15;-9.990E+02;2.69167e-14;7.77316e-15;-9.990E+02
20:43:42.575;-00:47:36.627;5.33E+20;0.8;-999/-999;46241.9;1.67895e-14;3.28328e-15;2.29744e-14;5.47446e-15;-9.990E+02;1.10758e-14;4.27457e-15;-9.990E+02;2.34073e-15;2.3429e-15;-9.990E+02
20:43:37.277;-00:37:15.141;5.27E+20;0.8;-999/-999;46296.4;1.01843e-14;2.53266e-15;4.46145e-15;2.40402e-15;-9.990E+02;9.71233e-15;3.90978e-15;-9.990E+02;1.43774e-14;5.78774e-15;-9.990E+02
20:43:46.177;-00:39:04.959;5.28E+20;0.8;-999/-999;45083.8;8.09978e-15;2.38448e-15;4.7909e-15;2.5865e-15;-9.990E+02;1.1917e-14;4.67763e-15;-9.990E+02;2.9399e-15;2.76951e-15;-9.990E+02
20:43:01.520;-00:37:38.729;5.29E+20;0.8;-999/-999;43326.5;9.17973e-15;2.68326e-15;6.03555e-15;3.08836e-15;-9.990E+02;7.49965e-15;3.83754e-15;-9.990E+02;1.10999e-14;5.67976e-15;-9.990E+02
20:42:53.877;-00:47:29.722;5.35E+20;0.8;-999/-999;46291.2;8.59095e-15;2.53861e-15;7.84234e-15;3.27576e-15;-9.990E+02;1.61877e-15;1.70325e-15;-9.990E+02;1.4363e-14;5.99947e-15;-9.990E+02
20:43:44.947;-00:38:08.515;5.28E+20;0.8;-999/-999;45596.3;7.68399e-15;2.23545e-15;6.9953e-15;2.9392e-15;-9.990E+02;5.79953e-15;2.9692e-15;-9.990E+02;6.43695e-15;3.71883e-15;-9.990E+02
20:43:05.197;-00:35:36.268;5.28E+20;0.8;-999/-999;43082.3;1.93143e-14;3.42769e-15;1.01549e-14;3.55937e-15;-9.990E+02;1.57834e-14;4.86766e-15;-9.990E+02;2.80359e-14;7.85957e-15;-9.990E+02
20:42:50.981;-00:38:54.986;5.30E+20;0.8;-999/-999;46909.2;7.84915e-15;2.38576e-15;5.63348e-15;2.91534e-15;-9.990E+02;5.24901e-15;3.06351e-15;-9.990E+02;1.03536e-14;5.35801e-15;-9.990E+02
20:43:17.704;-00:34:29.402;5.27E+20;1.398;+0.28/-0.21;43978.5;2.44057e-14;2.82592e-15;3.70992e-14;6.79154e-15;-9.990E+02;4.4279e-14;7.61046e-15;-9.990E+02;2.0473e-14;6.01935e-15;-9.990E+02
