RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
03:52:44.312;+00:06:13.594;2.166E-04;4.500E-05;202416.0;4.126E-05;1.977E-05;-9.990E+02;9.285E-05;2.932E-05;-9.990E+02;8.250E-05;2.795E-05;-9.990E+02
03:53:24.967;+00:09:04.373;3.107E-04;5.000E-05;214434.0;9.942E-05;2.826E-05;-9.990E+02;6.214E-05;2.246E-05;-9.990E+02;1.491E-04;3.406E-05;-9.990E+02
03:53:01.911;-00:05:19.649;6.133E-04;6.500E-05;252518.0;1.534E-04;3.250E-05;-9.990E+02;2.555E-04;4.235E-05;-9.990E+02;2.044E-04;3.742E-05;-9.990E+02
03:52:41.348;-00:00:59.709;2.680E-04;5.200E-05;174249.0;7.052E-05;2.707E-05;-9.990E+02;8.466E-05;2.921E-05;-9.990E+02;1.129E-04;3.419E-05;-9.990E+02
03:53:18.075;-00:05:22.452;2.467E-04;4.700E-05;260795.0;5.482E-05;2.231E-05;-9.990E+02;1.096E-04;3.107E-05;-9.990E+02;8.224E-05;2.708E-05;-9.990E+02
03:53:25.203;-00:05:12.016;1.370E-04;3.900E-05;261906.0;3.424E-05;1.950E-05;-9.990E+02;3.994E-05;2.089E-05;-9.990E+02;6.278E-05;2.646E-05;-9.990E+02
03:53:44.495;+00:02:15.079;1.846E-04;4.200E-05;273040.0;4.614E-05;2.100E-05;-9.990E+02;2.636E-05;1.593E-05;-9.990E+02;1.121E-04;3.259E-05;-9.990E+02
03:53:25.735;+00:10:17.728;2.809E-04;5.100E-05;194587.0;4.957E-05;2.186E-05;-9.990E+02;3.304E-05;1.781E-05;-9.990E+02;1.982E-04;4.290E-05;-9.990E+02
03:53:00.214;-00:05:59.167;1.699E-04;4.400E-05;234639.0;1.960E-05;1.489E-05;-9.990E+02;4.573E-05;2.302E-05;-9.990E+02;1.045E-04;3.452E-05;-9.990E+02
03:53:07.171;+00:11:24.951;2.711E-03;1.400E-04;88228.9;1.660E-04;3.422E-05;-9.990E+02;1.217E-03;9.333E-05;-9.990E+02;1.328E-03;9.333E-05;-9.990E+02
03:53:44.238;-00:00:44.366;1.265E-04;3.900E-05;274586.0;1.012E-05;1.135E-05;-9.990E+02;3.036E-05;1.915E-05;-9.990E+02;8.601E-05;3.262E-05;-9.990E+02
03:53:25.487;-00:05:59.396;6.387E-04;7.000E-05;261664.0;1.950E-04;3.880E-05;-9.990E+02;2.487E-04;4.386E-05;-9.990E+02;1.950E-04;3.880E-05;-9.990E+02
03:52:52.898;+00:10:41.327;2.011E-03;1.300E-04;61719.7;5.587E-04;7.020E-05;-9.990E+02;6.704E-04;7.627E-05;-9.990E+02;7.821E-04;8.320E-05;-9.990E+02
